timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
310032548,309838979,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
311032537,310838983,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
312032358,311838982,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
313032319,312837371,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
314032321,313837498,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
315032298,314838979,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
316032319,315838980,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
317032281,316837861,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
318032324,317837862,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
319032319,318839056,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
320032311,319837391,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
321032282,320837377,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
322032314,321837860,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
323032276,322837861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
324032321,323839012,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
325032325,324837360,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
326032416,325834863,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
327032277,326834862,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
328032321,327834860,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
329032275,328833862,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
330032339,329833863,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
331032307,330833863,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
332032320,331833862,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
333032434,332832863,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
334032304,333832861,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
335032258,334832860,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
336032302,335832862,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
337032308,336833862,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
338032304,337832861,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
340032274,339833863,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
341032353,340832861,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
342032436,341832861,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
343032463,342832862,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
344032263,343832863,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
345032308,344832862,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
346032493,345833866,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
347032307,346832862,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
348032435,347832861,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
349032489,348833862,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
350032430,349834861,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
351032414,350834862,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
352032491,351835878,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
353042504,352849868,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
353942641,353747561,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
355032463,354835861,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
356032457,355834860,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,1
357032502,356835861,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
358032429,357837636,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
359032485,358835860,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
360032565,359833862,0.014168697,0.078808084,0.014990822,1,0,0,0,0,0,1,0,0,0,0
