timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
200677048,200676729,-0.45799628,0.011615582,-0.013029471,0.88878274,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200682015,200681730,-0.45799923,0.011605028,-0.013025827,0.8887814,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200687027,200686730,-0.4580046,0.011606657,-0.013015778,0.8887788,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200692030,200691729,-0.45801544,0.011608486,-0.013000592,0.88877344,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200697077,200696763,-0.45802313,0.011613655,-0.013003227,0.8887694,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200702044,200701729,-0.45802286,0.011628906,-0.013010184,0.8887692,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200707061,200706729,-0.45803,0.011627677,-0.013017369,0.88876545,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200712079,200711730,-0.45803773,0.011628454,-0.013029522,0.8887613,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200717095,200716772,-0.45805416,0.011624579,-0.013049392,0.88875246,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200722044,200721730,-0.45807138,0.011619727,-0.013048233,0.8887437,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200727020,200726730,-0.45806995,0.011616934,-0.013048933,0.8887445,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200732066,200731731,-0.45806947,0.011614701,-0.013037504,0.8887449,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200737022,200736731,-0.4580573,0.011604743,-0.013024009,0.8887515,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200742027,200741730,-0.45803913,0.0116228005,-0.013018106,0.8887608,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200747024,200746730,-0.45802057,0.011622107,-0.013020257,0.88877034,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200752086,200751730,-0.45800754,0.0116331875,-0.01302775,0.8887768,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200757031,200756733,-0.45800138,0.011638493,-0.013037792,0.88877976,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200762015,200761729,-0.45801544,0.011638211,-0.013028109,0.88877267,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200767023,200766730,-0.4580368,0.011642982,-0.013039919,0.8887614,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200772071,200771731,-0.45805958,0.011642706,-0.013033091,0.8887497,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200777063,200776733,-0.45807764,0.011631602,-0.013025452,0.88874066,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
