timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
343846826,0.135005,0.08591986,-0.062077902,0.0
343866826,0.135005,0.08592038,-0.062071882,0.0
343886826,0.135005,0.08592362,-0.062067516,0.0
343906825,0.135005,0.08591673,-0.062065907,0.0
343926826,0.13610499,0.08593392,-0.062059622,0.0
343946826,0.13733862,0.085804105,-0.062054195,0.0
343966824,0.13848303,0.08544379,-0.061995972,0.0
343986825,0.13978116,0.08493448,-0.061901852,0.0
344006827,0.14085516,0.08423211,-0.061833125,0.0
344026823,0.14183834,0.08344138,-0.06177635,0.0
344046825,0.14293332,0.08255057,-0.061710786,0.0
344066826,0.14384344,0.08162893,-0.061639678,0.0
344086825,0.1447009,0.08071591,-0.061551046,0.0
344106825,0.14565277,0.07980385,-0.061485924,0.0
344126824,0.14661497,0.07897609,-0.061418913,0.0
344146830,0.14755638,0.0782438,-0.061378203,0.0
344166826,0.1486049,0.077636994,-0.061344415,0.0
344186825,0.14973131,0.07714031,-0.061320532,0.0
344206823,0.1508786,0.076715134,-0.061334997,0.0
344226834,0.15203778,0.07631736,-0.061300255,0.0
344246825,0.15321119,0.075969934,-0.061272807,0.0
344266824,0.15438034,0.07560304,-0.061259065,0.0
344286825,0.15555513,0.075203255,-0.06125151,0.0
344306825,0.15670168,0.07477909,-0.06123083,0.0
344326826,0.15784845,0.07428003,-0.061191294,0.0
344346825,0.15903214,0.073674306,-0.061142407,0.0
344366827,0.16014941,0.073044926,-0.061101343,0.0
344386826,0.1612,0.07246995,-0.06107002,0.0
344406826,0.1623129,0.071941525,-0.06105056,0.0
344426825,0.1634276,0.071484186,-0.061029464,0.0
344446826,0.16450028,0.07110435,-0.061007563,0.0
344466825,0.16569,0.070733294,-0.060987875,0.0
344486825,0.16687073,0.070368476,-0.06097212,0.0
344506829,0.16800599,0.07002381,-0.060950745,0.0
344526825,0.16926129,0.06961778,-0.060913745,0.0
344546825,0.17036247,0.06917693,-0.06088457,0.0
344566826,0.17129445,0.06875723,-0.060874168,0.0
344586824,0.17129445,0.06830713,-0.060867053,0.0
344606824,0.1719047,0.067923814,-0.060867455,0.0
344626826,0.17313208,0.067806594,-0.06091809,0.0
344646826,0.17410758,0.06775627,-0.060956907,0.0
344666826,0.17532791,0.06750234,-0.060898114,0.0
344686825,0.17652152,0.06712418,-0.060814917,0.0
344706825,0.17749792,0.066708945,-0.060782783,0.0
