timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
306666852,-1.4901161e-08,2.2351742e-08,2.2351742e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
306865607,-3.7252903e-09,1.4901161e-08,-7.450581e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
307066853,2.2351742e-08,1.4901161e-08,-1.8626451e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
307265601,2.2351742e-08,1.4901161e-08,4.0978193e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
307465600,1.8626451e-08,-7.450581e-09,2.2351742e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
307666852,-1.4901161e-08,1.4901161e-08,3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
307864354,0.0,7.450581e-09,-2.9802322e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
308063125,6.9849193e-09,3.7252903e-09,-2.9802322e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
308265600,1.8626451e-09,3.7252903e-09,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
308466852,-1.8626451e-08,1.8626451e-08,1.1175871e-08,0.0,0.0,-0.07608491,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
308663120,-1.21071935e-08,-2.6077032e-08,-1.1175871e-08,0.0,0.0,-0.040494025,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
308865601,4.004687e-08,3.7252903e-09,4.004687e-08,0.0,0.0,-0.03499621,0,1,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
309065605,2.7939677e-09,-5.5879354e-09,6.053597e-08,0.0,0.0,-0.028008938,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
309266853,9.313226e-09,-2.6077032e-08,-4.656613e-09,0.0,0.0,-0.03432107,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
309466852,2.514571e-08,7.450581e-09,9.313226e-09,0.0,0.0,-0.03037417,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
309666852,1.4901161e-08,4.8894435e-09,-7.450581e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
309864356,-3.7252903e-09,0.0,3.5390258e-08,0.0,0.0,5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
310064353,1.8626451e-08,-1.8626451e-08,-1.4901161e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
310266854,-7.450581e-09,-3.7252903e-09,-2.6077032e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
310463127,-1.8626451e-09,1.1175871e-08,2.6077032e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
310660600,1.1175871e-08,-1.1175871e-08,-2.2351742e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
310865606,1.4901161e-08,7.450581e-09,9.313226e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
311063130,2.6077032e-08,-9.313226e-09,3.3527613e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
311263120,-5.2154064e-08,1.8626451e-08,-1.8626451e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
311465600,2.0489097e-08,5.5879354e-09,2.0489097e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
311663123,1.3038516e-08,1.1175871e-08,2.7939677e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
311863120,-3.7252903e-09,1.4901161e-08,-2.0954758e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
312065605,3.7252903e-09,-1.4901161e-08,-3.5390258e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
312261853,2.0489097e-08,-3.7252903e-09,1.3504177e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
312466852,1.1175871e-08,-7.450581e-09,-1.1175871e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
312663129,7.450581e-09,-1.1175871e-08,2.6077032e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
312865599,-1.9557774e-08,1.8626451e-08,-7.450581e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
313061853,-3.7252903e-08,-1.8626451e-09,-1.1175871e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
313266852,7.450581e-09,1.5832484e-08,-1.1175871e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
313463121,-2.2351742e-08,1.8626451e-08,-4.0978193e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
313663124,-2.9802322e-08,1.1175871e-08,1.4901161e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
313863120,-8.96398e-09,2.2351742e-08,7.450581e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
