timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
275558324,4.974472,0.0,3.2856994,3.2801604,3.296173,3.2825775,15,0,1,0,1,0,0,0,0,0
276058309,4.992096,0.0,3.286908,3.2787507,3.293756,3.2797577,15,0,1,0,1,0,0,0,0,0
276558310,4.9808164,0.0,3.3187315,3.27724,3.2892241,3.280664,15,0,1,0,1,0,0,0,0,0
277058310,4.986859,0.0,3.3070495,3.2815704,3.2945616,3.2793548,15,0,1,0,1,0,0,0,0,0
277558332,4.985953,0.0,3.3032227,3.2795563,3.2917418,3.2794554,15,0,1,0,1,0,0,0,0,0
278058312,4.986154,0.0,3.3094666,3.280362,3.2957702,3.2811675,15,0,1,0,1,0,0,0,0,0
278558310,4.9684296,0.0,3.2860014,3.280664,3.2959716,3.276837,15,0,1,0,1,0,0,0,0,0
279058310,4.976184,0.0,3.3119843,3.2759306,3.293454,3.2798584,15,0,1,0,1,0,0,0,0,0
279558309,4.989981,0.0,3.3173218,3.2786498,3.295871,3.2784483,15,0,1,0,1,0,0,0,0,0
280558309,4.9756804,0.0,3.3153076,3.275528,3.2953675,3.2777436,15,0,1,0,1,0,0,0,0,0
281058312,4.9842405,0.0,3.3168182,3.279657,3.293756,3.2771392,15,0,1,0,1,0,0,0,0,0
281558313,4.976788,0.0,3.3049347,3.2774413,3.2966766,3.282779,15,0,1,0,1,0,0,0,0,0
282058310,4.9854493,0.0,3.3166168,3.278247,3.294864,3.2773407,15,0,1,0,1,0,0,0,0,0
282558311,4.985953,0.0,3.3151062,3.27724,3.296173,3.2787507,15,0,1,0,1,0,0,0,0,0
283058368,4.96853,0.0,3.3169188,3.2800598,3.2945616,3.2795563,15,0,1,0,1,0,0,0,0,0
283558309,4.992499,0.0,3.2870085,3.2794554,3.2917418,3.2804625,15,0,1,0,1,0,0,0,0,0
284058310,4.9774933,0.0,3.288318,3.278952,3.293051,3.2798584,15,0,1,0,1,0,0,0,0,0
284558307,4.9656096,0.0,3.31279,3.2791533,3.293051,3.2790527,15,0,1,0,1,0,0,0,0,0
285558310,4.9942107,0.0,3.3056395,3.280664,3.2912383,3.281067,15,0,1,0,1,0,0,0,0,0
286058308,4.984341,0.0,3.3099701,3.279657,3.2960722,3.2818725,15,0,1,0,1,0,0,0,0,0
286558309,4.9729614,0.0,3.3164153,3.2769377,3.294763,3.2776427,15,0,1,0,1,0,0,0,0,0
287058309,4.9697385,0.0,3.295871,3.2814696,3.2921448,3.2777436,15,0,1,0,1,0,0,0,0,0
287558308,4.973465,0.0,3.3110778,3.2778442,3.2964752,3.2783477,15,0,1,0,1,0,0,0,0,0
288058308,4.9743714,0.0,3.2894256,3.2766356,3.2938569,3.2760315,15,0,1,0,1,0,0,0,0,0
288558311,4.9731627,0.0,3.2904327,3.2822754,3.2939575,3.2797577,15,0,1,0,1,0,0,0,0,0
289058310,4.967322,0.0,3.294461,3.2780457,3.2929504,3.2811675,15,0,1,0,1,0,0,0,0,0
289558309,4.990082,0.0,3.2981873,3.279657,3.2975829,3.279657,15,0,1,0,1,0,0,0,0,0
290058311,4.967322,0.0,3.306546,3.2786498,3.2923462,3.27724,15,0,1,0,1,0,0,0,0,0
290558308,4.9838376,0.0,3.286505,3.2769377,3.2921448,3.2777436,15,0,1,0,1,0,0,0,0,0
291058309,4.9874635,0.0,3.312387,3.2783477,3.293051,3.282074,15,0,1,0,1,0,0,0,0,0
291558308,4.974774,0.0,3.3114808,3.2807648,3.2956696,3.2814696,15,0,1,0,1,0,0,0,0,0
292058308,4.9773927,0.0,3.3158112,3.2818725,3.2955687,3.2787507,15,0,1,0,1,0,0,0,0,0
292558308,4.9594665,0.0,3.3135955,3.2780457,3.2911377,3.2780457,15,0,1,0,1,0,0,0,0,0
293058312,4.9745727,0.0,3.2868073,3.2804625,3.292044,3.2798584,15,0,1,0,1,0,0,0,0,0
293558307,4.9670196,0.0,3.287613,3.278952,3.2943604,3.2766356,15,0,1,0,1,0,0,0,0,0
294058310,4.972861,0.0,3.3114808,3.2784483,3.295468,3.2802613,15,0,1,0,1,0,0,0,0,0
294558311,4.973666,0.0,3.3095672,3.2800598,3.2913392,3.2791533,15,0,1,0,1,0,0,0,0,0
295058307,4.955841,0.0,3.3132935,3.281067,3.2963746,3.2808654,15,0,1,0,1,0,0,0,0,0
295558307,4.979205,0.0,3.3171203,3.2766356,3.2953675,3.2764342,15,0,1,0,1,0,0,0,0,0
296058310,4.9746733,0.0,3.2955687,3.2774413,3.296173,3.2787507,15,0,1,0,1,0,0,0,0,0
296558308,4.9543304,0.0,3.2988923,3.2779448,3.2945616,3.2814696,15,0,1,0,1,0,0,0,0,0
297058309,4.9745727,0.0,3.3119843,3.2774413,3.2971802,3.2815704,15,0,1,0,1,0,0,0,0,0
297558308,4.972861,0.0,3.3177245,3.2766356,3.2942595,3.2785492,15,0,1,0,1,0,0,0,0,0
298558308,4.973767,0.0,3.2895262,3.2785492,3.294763,3.2800598,15,0,1,0,1,0,0,0,0,0
299058309,4.978601,0.0,3.2955687,3.279657,3.293756,3.27724,15,0,1,0,1,0,0,0,0,0
299558308,4.955237,0.0,3.2957702,3.2797577,3.2929504,3.282779,15,0,1,0,1,0,0,0,0,0
