timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
217836184,217645671,3407882,-0.0031868562,-0.0014109042,-0.0006592741,0.15,1.9774592e-07,1.9456337e-07,5.001636e-07,3407882,-0.010238295,-0.010144958,0.025953015,0.4,0.0018613809,0.0018952298,1.4614189e-05,466953,-0.0061672824,0.00069666,-0.018039718,0.5,0.0006188957,0.00081899605,0.00082504324,1,1,1,0,1,0
218246191,218055671,3407882,-0.0031668448,-0.0014167147,-0.0006584657,0.15,1.9688105e-07,1.9442668e-07,5.039887e-07,3407882,-0.010638047,-0.010339088,0.025875608,0.4,0.0018589974,0.0018947962,1.4609488e-05,466953,-0.006740637,0.0011097279,-0.017296398,0.5,0.0005706081,0.0008114885,0.00074343523,1,1,1,0,1,0
218466175,218275672,3407882,-0.003178288,-0.0014395834,-0.0006636064,0.15,1.9621919e-07,1.945683e-07,5.0594707e-07,3407882,-0.011007029,-0.010445515,0.025833322,0.4,0.001857554,0.0018945591,1.46084485e-05,466953,-0.0068146447,0.00071101,-0.018406365,0.5,0.0005347859,0.000808155,0.00068499014,1,1,1,0,1,0
218736165,218545675,3407882,-0.0031988618,-0.0014750112,-0.0006726942,0.15,1.9483774e-07,1.9425586e-07,5.0826304e-07,3407882,-0.012185598,-0.010699302,0.025731092,0.4,0.0018552734,0.0018942246,1.4603998e-05,466953,-0.006932801,0.00021660066,-0.019126026,0.5,0.0005211417,0.0008059267,0.00066414167,1,1,1,0,1,0
219036369,218845671,3407882,-0.0032218096,-0.001444118,-0.0006800328,0.15,1.9409173e-07,1.9403555e-07,5.109408e-07,3407882,-0.013365774,-0.0112481965,0.025596665,0.4,0.0018527777,0.0018938832,1.4602463e-05,466953,-0.007098015,-8.441793e-06,-0.019193007,0.5,0.0005184019,0.0008036473,0.00066111784,1,1,1,0,1,0
219336191,219145671,3407882,-0.0032392677,-0.0014243735,-0.0006793531,0.15,1.937861e-07,1.9384396e-07,5.1377066e-07,3407882,-0.014309901,-0.011607415,0.02549057,0.4,0.0018501119,0.0018934972,1.4601146e-05,466953,-0.007269851,-4.5642682e-06,-0.019124813,0.5,0.0005174499,0.0008026959,0.0006599341,1,1,1,0,1,0
219636241,219445671,3407882,-0.0032444338,-0.0013916179,-0.0006775213,0.15,1.9374319e-07,1.9378072e-07,5.1658736e-07,3407882,-0.01518318,-0.012135825,0.025388185,0.4,0.0018472794,0.0018930247,1.4600853e-05,466953,-0.007339627,0.00016033098,-0.019014113,0.5,0.0005171129,0.00080213323,0.00065959024,1,1,1,0,1,0
220146186,219955671,3407882,-0.003224284,-0.0013608594,-0.0006779159,0.15,1.9385534e-07,1.937759e-07,5.2127274e-07,3407882,-0.016353084,-0.012657914,0.025282133,0.4,0.0018419768,0.0018921528,1.4603541e-05,466953,-0.0072988635,0.0004042935,-0.01885518,0.5,0.00051540724,0.0008006958,0.0006577505,1,1,1,0,1,0
221036359,220845671,3407882,-0.0032334733,-0.0013170746,-0.0006733119,0.15,1.9359575e-07,1.9323889e-07,5.2882865e-07,3407882,-0.020070061,-0.013908174,0.024951657,0.4,0.0018302595,0.0018905316,1.4609249e-05,466953,-0.0073450254,0.0005124641,-0.01872904,0.5,0.00051111914,0.0007967644,0.00065253477,1,1,1,0,1,0
221236173,221045671,3407882,-0.0032321028,-0.0013184354,-0.0006733769,0.15,1.9352149e-07,1.9311346e-07,5.303029e-07,3407882,-0.021115279,-0.014080749,0.024874708,0.4,0.0018272708,0.0018901291,1.4611232e-05,466953,-0.007307286,0.0005042988,-0.018715978,0.5,0.0005095248,0.00079642294,0.00064998533,1,1,1,0,1,0
