timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
216677183,216630531,466953,0.0027567823,0.10507704,0.4835203,3
216716184,216702029,466953,-0.0014079501,0.10681999,0.48371696,3
216820186,216773529,466953,-0.012398165,0.10971045,0.48139387,3
216859186,216845029,466953,-0.027044617,0.10947438,0.4816433,3
216963185,216916531,466953,-0.044482447,0.11222184,0.47916928,3
217002185,216988029,466953,-0.05752417,0.11400204,0.4779689,3
217106183,217059528,466953,-0.06638536,0.11429314,0.47672588,3
217145194,217131030,466953,-0.07101651,0.11448054,0.47605166,3
217249188,217202531,466953,-0.070366174,0.112617604,0.4763751,3
217288193,217274028,466953,-0.06877784,0.11045128,0.47680312,3
217392187,217345681,466953,-0.06771536,0.11107112,0.4771513,3
217431183,217417028,466953,-0.068364926,0.10997926,0.47789407,3
217535187,217488531,466953,-0.066151746,0.10757267,0.47767162,3
217574200,217560029,466953,-0.06015184,0.10910289,0.4781072,3
217678182,217631529,466953,-0.043932475,0.10904364,0.48051107,3
217717185,217703036,466953,-0.019984353,0.111140095,0.4794368,3
217821182,217774529,466953,0.009195611,0.11112718,0.4795504,3
217860190,217846031,466953,0.03780753,0.11272888,0.47827655,3
217964206,217917590,466953,0.06728117,0.114519514,0.47254413,3
218003202,217989027,466953,0.09349607,0.12077069,0.46840286,3
218107176,218060528,466953,0.11014859,0.12356402,0.46645445,3
218146180,218132027,466953,0.1180595,0.12029457,0.4645073,3
218250192,218203531,466953,0.10823257,0.117582045,0.46813118,3
218289203,218275029,466953,0.092573576,0.11275305,0.47300717,3
218393195,218346528,466953,0.0707413,0.109589875,0.4758522,3
218432181,218418030,466953,0.0516728,0.11007109,0.4796153,3
218536185,218489530,466953,0.029112354,0.11031319,0.48211747,3
218575176,218561030,466953,0.0039005016,0.107895546,0.48229188,3
218679181,218632528,466953,-0.022098282,0.10677646,0.48230645,3
218718175,218704028,466953,-0.048013236,0.10841434,0.4793721,3
218822180,218775530,466953,-0.06684251,0.10969497,0.47754532,3
218861184,218847028,466953,-0.07767418,0.11251219,0.47683296,3
218965188,218918533,466953,-0.07628872,0.10928513,0.4784437,3
219004199,218990036,466953,-0.07109523,0.10801437,0.4799028,3
219108176,219061528,466953,-0.063269675,0.10700195,0.48332927,3
219147180,219133028,466953,-0.053961094,0.10321226,0.48349032,3
219251188,219204528,466953,-0.051088236,0.104798056,0.48125386,3
219290194,219276036,466953,-0.049346097,0.10617493,0.48078236,3
