timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
242096729,32767,32767,32767,32767,32767,32767
242101729,32767,32767,32767,32767,32767,32767
242106729,32767,32767,32767,32767,32767,32767
242111728,32767,32767,32767,32767,32767,32767
242116729,32767,32767,32767,32767,32767,32767
242121729,32767,32767,32767,32767,32767,32767
242126729,32767,32767,32767,32767,32767,32767
242131729,32767,32767,32767,32767,-6,32767
242136729,32767,32767,32767,32767,32767,32767
242141729,32767,32767,32767,-19,32767,32767
242146729,32767,32767,32767,32767,32767,32767
242151729,32767,32767,32767,32767,32767,32767
242156730,32767,32767,32767,32767,32767,32767
242161729,32767,32767,32767,32767,32767,32767
242166729,32767,32767,32767,32767,32767,32767
242171728,32767,32767,32767,32767,-16,32767
242176729,32767,32767,32767,32767,32767,32767
242181729,32767,32767,32767,32767,32767,32767
242186729,32767,32767,32767,-35,32767,32767
242191729,32767,32767,32767,32767,32767,32767
242196729,32767,32767,32767,32767,32767,32767
242201729,32767,32767,32767,32767,32767,32767
242206729,32767,32767,32767,32767,32767,32767
242211729,32767,32767,32767,32767,32767,32767
242216729,32767,32767,32767,32767,32767,32767
242221729,32767,32767,32767,32767,32767,32767
242226729,32767,32767,32767,32767,32767,32767
242231728,32767,32767,32767,32767,32767,32767
242236729,32767,32767,32767,32767,32767,32767
242241729,32767,32767,32767,32767,32767,32767
242246729,32767,32767,32767,32767,32767,32767
242251729,32767,32767,32767,32767,32767,32767
242256729,32767,32767,32767,32767,32767,32767
242261729,32767,32767,32767,32767,32767,32767
242266729,32767,32767,32767,32767,32767,32767
242271729,32767,32767,32767,-20,32767,32767
242276729,32767,32767,32767,32767,-25,32767
242281729,32767,32767,32767,32767,32767,32767
242286729,32767,32767,32767,32767,32767,32767
242291729,32767,32767,32767,32767,32767,32767
242296729,32767,32767,32767,32767,32767,32767
242301729,32767,32767,32767,32767,32767,32767
242306729,32767,32767,32767,32767,32767,32767
242311729,32767,32767,32767,32767,32767,32767
242316729,32767,32767,32767,-36,-36,32767
242321729,32767,32767,32767,32767,32767,32767
242326729,32767,32767,32767,32767,32767,32767
242331729,32767,32767,32767,32767,32767,32767
242336729,32767,32767,32767,32767,32767,32767
242511729,32767,32767,32767,32767,32767,32767
242516729,32767,32767,32767,32767,32767,32767
242521729,32767,32767,32767,32767,32767,32767
242526729,32767,32767,32767,32767,32767,32767
242531728,32767,32767,32767,-22,32767,32767
242536729,32767,32767,32767,32767,32767,32767
242541729,32767,32767,32767,32767,32767,32767
242546729,32767,32767,32767,32767,32767,32767
242551729,32767,32767,32767,32767,32767,32767
242556730,32767,32767,32767,32767,32767,32767
242561729,32767,32767,32767,32767,-16,32767
242566729,32767,32767,32767,32767,32767,32767
242571729,32767,32767,32767,32767,32767,32767
242576729,32767,32767,32767,-39,32767,32767
242581729,32767,32767,32767,32767,32767,32767
242586730,32767,32767,32767,32767,32767,32767
242591729,32767,32767,32767,32767,32767,32767
242596729,32767,32767,32767,32767,32767,32767
242601729,32767,32767,32767,32767,-26,32767
242606729,32767,32767,32767,32767,32767,32767
242611729,32767,32767,32767,32767,32767,32767
242616729,32767,32767,32767,32767,32767,32767
242621729,32767,32767,32767,32767,32767,32767
242626729,32767,32767,32767,32767,32767,32767
242631729,32767,32767,32767,32767,32767,32767
242636729,32767,32767,32767,32767,32767,32767
242641729,32767,32767,32767,32767,32767,32767
242646729,32767,32767,32767,32767,32767,32767
242651729,32767,32767,32767,32767,32767,32767
242656729,32767,32767,32767,32767,32767,32767
242661729,32767,32767,32767,-23,32767,32767
242666729,32767,32767,32767,32767,32767,32767
242671728,32767,32767,32767,32767,32767,32767
242676729,32767,32767,32767,32767,32767,32767
242681729,32767,32767,32767,32767,32767,32767
242686729,32767,32767,32767,32767,32767,32767
242691729,32767,32767,32767,32767,32767,32767
242696729,32767,32767,32767,32767,32767,32767
242701731,32767,32767,32767,32767,32767,32767
242706729,32767,32767,32767,-40,-36,32767
242711729,32767,32767,32767,32767,32767,32767
242716729,32767,32767,32767,32767,32767,32767
242721729,32767,32767,32767,32767,32767,32767
242726729,32767,32767,32767,32767,32767,32767
242731729,32767,32767,32767,32767,32767,32767
242736729,32767,32767,32767,32767,32767,32767
242741729,32767,32767,32767,32767,32767,32767
242746729,32767,32767,32767,32767,-46,32767
242751729,32767,32767,32767,32767,32767,32767
242756729,32767,32767,32767,32767,32767,32767
242761729,32767,32767,32767,32767,32767,32767
242766729,32767,32767,32767,32767,32767,32767
242771728,32767,32767,32767,32767,32767,32767
242776729,32767,32767,32767,32767,32767,32767
242781729,32767,32767,32767,32767,32767,32767
242786729,32767,32767,32767,32767,32767,32767
242791728,32767,32767,32767,-24,32767,32767
242796729,32767,32767,32767,32767,32767,32767
242801729,32767,32767,32767,32767,32767,32767
242806729,32767,32767,32767,32767,32767,32767
242811729,32767,32767,32767,32767,32767,32767
242816729,32767,32767,32767,32767,32767,32767
242821729,32767,32767,32767,32767,32767,32767
242826729,32767,32767,32767,32767,32767,32767
242831728,32767,32767,32767,32767,32767,32767
242836729,32767,32767,32767,-41,32767,32767
242841729,32767,32767,32767,32767,32767,32767
242846730,32767,32767,32767,32767,-6,32767
242851728,32767,32767,32767,32767,32767,32767
242856729,32767,32767,32767,32767,32767,32767
242861729,32767,32767,32767,32767,32767,32767
242866729,32767,32767,32767,32767,32767,32767
242871729,32767,32767,32767,32767,32767,32767
242876729,32767,32767,32767,32767,32767,32767
242881729,32767,32767,32767,32767,32767,32767
242886729,32767,32767,32767,32767,-16,32767
242891729,32767,32767,32767,32767,32767,32767
242896729,32767,32767,32767,32767,32767,32767
242901729,32767,32767,32767,32767,32767,32767
242906729,32767,32767,32767,32767,32767,32767
242911729,32767,32767,32767,32767,32767,32767
242916729,32767,32767,32767,32767,32767,32767
242921729,32767,32767,32767,-25,32767,32767
242926729,32767,32767,32767,32767,32767,32767
242931729,32767,32767,32767,32767,32767,32767
242936729,32767,32767,32767,32767,32767,32767
242941729,32767,32767,32767,32767,32767,32767
242946729,32767,32767,32767,32767,32767,32767
242951729,32767,32767,32767,32767,32767,32767
242956729,32767,32767,32767,32767,32767,32767
242961731,32767,32767,32767,32767,32767,32767
242966729,32767,32767,32767,-42,32767,32767
242971728,32767,32767,32767,32767,32767,32767
242976729,32767,32767,32767,32767,32767,32767
242981729,32767,32767,32767,32767,32767,32767
242986729,32767,32767,32767,32767,32767,32767
242991729,32767,32767,32767,32767,-26,32767
242996729,32767,32767,32767,32767,32767,32767
243001729,32767,32767,32767,32767,32767,32767
243006729,32767,32767,32767,32767,32767,32767
243011729,32767,32767,32767,32767,32767,32767
243016729,32767,32767,32767,32767,32767,32767
243021729,32767,32767,32767,32767,32767,32767
243026729,32767,32767,32767,32767,32767,32767
243031739,32767,32767,32767,32767,-36,32767
243036729,32767,32767,32767,32767,32767,32767
243041729,32767,32767,32767,32767,32767,32767
243046729,32767,32767,32767,32767,32767,32767
243051729,32767,32767,32767,-26,32767,32767
243056729,32767,32767,32767,32767,32767,32767
243061729,32767,32767,32767,32767,32767,32767
243066729,32767,32767,32767,32767,32767,32767
243071728,32767,32767,32767,32767,32767,32767
243076729,32767,32767,32767,32767,32767,32767
243081729,32767,32767,32767,32767,32767,32767
243086729,32767,32767,32767,32767,32767,32767
243091728,32767,32767,32767,32767,32767,32767
243096729,32767,32767,32767,-43,32767,32767
243101729,32767,32767,32767,32767,32767,32767
243106729,32767,32767,32767,32767,32767,32767
243111729,32767,32767,32767,32767,32767,32767
243116729,32767,32767,32767,32767,32767,32767
243121729,32767,32767,32767,32767,32767,32767
243126729,32767,32767,32767,32767,32767,32767
243131728,32767,32767,32767,32767,32767,32767
243136729,32767,32767,32767,32767,-46,32767
243141729,32767,32767,32767,32767,32767,32767
243146730,32767,32767,32767,32767,32767,32767
243151729,32767,32767,32767,32767,32767,32767
243156729,32767,32767,32767,32767,32767,32767
243161729,32767,32767,32767,32767,32767,32767
243166729,32767,32767,32767,32767,32767,32767
243171729,32767,32767,32767,32767,-6,32767
243176729,32767,32767,32767,32767,32767,32767
243181729,32767,32767,32767,-27,32767,32767
243186729,32767,32767,32767,32767,32767,32767
243191729,32767,32767,32767,32767,32767,32767
243196729,32767,32767,32767,32767,32767,32767
243201729,32767,32767,32767,32767,32767,32767
243206729,32767,32767,32767,32767,32767,32767
243211729,32767,32767,32767,32767,32767,32767
243216729,32767,32767,32767,32767,32767,32767
243221729,32767,32767,32767,32767,32767,32767
243226729,32767,32767,32767,-44,32767,32767
243231729,32767,32767,32767,32767,32767,32767
243236729,32767,32767,32767,32767,32767,32767
243241729,32767,32767,32767,32767,32767,32767
243246729,32767,32767,32767,32767,32767,32767
243251729,32767,32767,32767,32767,32767,32767
243256729,32767,32767,32767,32767,32767,32767
243261729,32767,32767,32767,32767,32767,32767
243266729,32767,32767,32767,32767,32767,32767
243271728,32767,32767,32767,32767,32767,32767
243276729,32767,32767,32767,32767,-16,32767
243281729,32767,32767,32767,32767,32767,32767
243286729,32767,32767,32767,32767,32767,32767
243291729,32767,32767,32767,32767,32767,32767
243296729,32767,32767,32767,32767,32767,32767
243301729,32767,32767,32767,32767,32767,32767
243306729,32767,32767,32767,32767,32767,32767
243311729,32767,32767,32767,-28,32767,32767
243316729,32767,32767,32767,32767,-26,32767
243321729,32767,32767,32767,32767,32767,32767
243326729,32767,32767,32767,32767,32767,32767
243331729,32767,32767,32767,32767,32767,32767
243336729,32767,32767,32767,32767,32767,32767
243341729,32767,32767,32767,32767,32767,32767
243346729,32767,32767,32767,32767,32767,32767
243351729,32767,32767,32767,32767,32767,32767
243356729,32767,32767,32767,-45,32767,32767
243361729,32767,32767,32767,32767,32767,32767
243366729,32767,32767,32767,32767,32767,32767
243371729,32767,32767,32767,32767,32767,32767
243376729,32767,32767,32767,32767,32767,32767
243381729,32767,32767,32767,32767,32767,32767
243386729,32767,32767,32767,32767,32767,32767
243391729,32767,32767,32767,32767,32767,32767
243396729,32767,32767,32767,32767,32767,32767
243401729,32767,32767,32767,32767,32767,32767
243406729,32767,32767,32767,32767,32767,32767
243411729,32767,32767,32767,32767,32767,32767
243416729,32767,32767,32767,32767,32767,32767
243421729,32767,32767,32767,32767,-36,32767
243426729,32767,32767,32767,32767,32767,32767
243431728,32767,32767,32767,32767,32767,32767
243436729,32767,32767,32767,32767,32767,32767
243441729,32767,32767,32767,-29,32767,32767
243446729,32767,32767,32767,32767,32767,32767
243451728,32767,32767,32767,32767,32767,32767
243456730,32767,32767,32767,32767,32767,32767
243461729,32767,32767,32767,32767,-46,32767
243466729,32767,32767,32767,32767,32767,32767
243471729,32767,32767,32767,32767,32767,32767
243476729,32767,32767,32767,32767,32767,32767
243481729,32767,32767,32767,32767,32767,32767
243486730,32767,32767,32767,-46,32767,32767
243491729,32767,32767,32767,32767,32767,32767
243496729,32767,32767,32767,32767,32767,32767
243501729,32767,32767,32767,32767,32767,32767
243506729,32767,32767,32767,32767,32767,32767
243511729,32767,32767,32767,32767,32767,32767
243516729,32767,32767,32767,32767,32767,32767
243521729,32767,32767,32767,32767,32767,32767
243526729,32767,32767,32767,32767,32767,32767
243531729,32767,32767,32767,32767,32767,32767
243536729,32767,32767,32767,32767,32767,32767
243541729,32767,32767,32767,32767,32767,32767
243546731,32767,32767,32767,32767,32767,32767
243551729,32767,32767,32767,32767,32767,32767
243556729,32767,32767,32767,32767,32767,32767
243561729,32767,32767,32767,32767,-6,32767
243566729,32767,32767,32767,32767,32767,32767
243571728,32767,32767,32767,-30,32767,32767
243576729,32767,32767,32767,32767,32767,32767
243581729,32767,32767,32767,32767,32767,32767
243586729,32767,32767,32767,32767,32767,32767
243591729,32767,32767,32767,32767,32767,32767
243596729,32767,32767,32767,32767,32767,32767
243601729,32767,32767,32767,32767,-16,32767
243606729,32767,32767,32767,32767,32767,32767
243611729,32767,32767,32767,3,32767,32767
243616729,32767,32767,32767,32767,32767,32767
243621729,32767,32767,32767,32767,32767,32767
243626729,32767,32767,32767,32767,32767,32767
243631729,32767,32767,32767,32767,32767,32767
243636731,32767,32767,32767,32767,32767,32767
243641729,32767,32767,32767,32767,32767,32767
243646729,32767,32767,32767,32767,32767,32767
243651729,32767,32767,32767,32767,32767,32767
243656729,32767,32767,32767,32767,32767,32767
243661729,32767,32767,32767,32767,32767,32767
243666729,32767,32767,32767,32767,32767,32767
243671729,32767,32767,32767,32767,32767,32767
243676729,32767,32767,32767,32767,32767,32767
243681729,32767,32767,32767,32767,32767,32767
243686729,32767,32767,32767,32767,32767,32767
243691729,32767,32767,32767,32767,32767,32767
243696729,32767,32767,32767,32767,32767,32767
243701729,32767,32767,32767,-31,32767,32767
243706729,32767,32767,32767,32767,-25,32767
243711728,32767,32767,32767,32767,32767,32767
243716729,32767,32767,32767,32767,32767,32767
243721729,32767,32767,32767,32767,32767,32767
243726729,32767,32767,32767,32767,32767,32767
243731729,32767,32767,32767,32767,32767,32767
243736729,32767,32767,32767,32767,32767,32767
243741729,32767,32767,32767,2,32767,32767
243746730,32767,32767,32767,32767,-35,32767
243751728,32767,32767,32767,32767,32767,32767
243756729,32767,32767,32767,32767,32767,32767
243761729,32767,32767,32767,32767,32767,32767
243766729,32767,32767,32767,32767,32767,32767
243771729,32767,32767,32767,32767,32767,32767
243776729,32767,32767,32767,32767,32767,32767
243781729,32767,32767,32767,32767,32767,32767
243786729,32767,32767,32767,32767,32767,32767
243791729,32767,32767,32767,32767,32767,32767
243796729,32767,32767,32767,32767,32767,32767
243801729,32767,32767,32767,32767,32767,32767
243806729,32767,32767,32767,32767,32767,32767
243811729,32767,32767,32767,32767,32767,32767
243816729,32767,32767,32767,32767,32767,32767
243821729,32767,32767,32767,32767,32767,32767
243826729,32767,32767,32767,32767,32767,32767
243831729,32767,32767,32767,-32,32767,32767
243836729,32767,32767,32767,32767,32767,32767
243841729,32767,32767,32767,32767,32767,32767
243846729,32767,32767,32767,32767,32767,32767
243851729,32767,32767,32767,32767,-46,32767
243856729,32767,32767,32767,32767,32767,32767
243861729,32767,32767,32767,32767,32767,32767
243866729,32767,32767,32767,32767,32767,32767
243871729,32767,32767,32767,1,32767,32767
243876729,32767,32767,32767,32767,32767,32767
243881729,32767,32767,32767,32767,32767,32767
243886729,32767,32767,32767,32767,-6,32767
243891729,32767,32767,32767,32767,32767,32767
243896729,32767,32767,32767,32767,32767,32767
243901729,32767,32767,32767,32767,32767,32767
243906729,32767,32767,32767,32767,32767,32767
243911728,32767,32767,32767,32767,32767,32767
243916729,32767,32767,32767,32767,32767,32767
243921729,32767,32767,32767,32767,32767,32767
243926729,32767,32767,32767,32767,32767,32767
243931729,32767,32767,32767,32767,32767,32767
243936729,32767,32767,32767,32767,32767,32767
243941729,32767,32767,32767,32767,32767,32767
243946729,32767,32767,32767,32767,32767,32767
243951729,32767,32767,32767,32767,32767,32767
243956729,32767,32767,32767,32767,32767,32767
243961729,32767,32767,32767,-33,32767,32767
243966729,32767,32767,32767,32767,32767,32767
243971728,32767,32767,32767,32767,32767,32767
243976729,32767,32767,32767,32767,32767,32767
243981729,32767,32767,32767,32767,32767,32767
243986730,32767,32767,32767,32767,32767,32767
243991729,32767,32767,32767,32767,-16,32767
243996729,32767,32767,32767,32767,32767,32767
244001729,32767,32767,32767,0,32767,32767
244006729,32767,32767,32767,32767,32767,32767
244011729,32767,32767,32767,32767,32767,32767
244016729,32767,32767,32767,32767,32767,32767
244021729,32767,32767,32767,32767,32767,32767
244026729,32767,32767,32767,32767,32767,32767
244031738,32767,32767,32767,32767,-26,32767
244036729,32767,32767,32767,32767,32767,32767
244041729,32767,32767,32767,32767,32767,32767
244046729,32767,32767,32767,32767,32767,32767
244051728,32767,32767,32767,32767,32767,32767
244056729,32767,32767,32767,32767,32767,32767
244061729,32767,32767,32767,32767,32767,32767
244066729,32767,32767,32767,32767,32767,32767
244071729,32767,32767,32767,32767,32767,32767
244076729,32767,32767,32767,32767,32767,32767
244081729,32767,32767,32767,32767,32767,32767
244086729,32767,32767,32767,32767,32767,32767
244091729,32767,32767,32767,-34,32767,32767
244096729,32767,32767,32767,32767,32767,32767
244101729,32767,32767,32767,32767,32767,32767
244106729,32767,32767,32767,32767,32767,32767
244111729,32767,32767,32767,32767,32767,32767
244116730,32767,32767,32767,32767,32767,32767
244121729,32767,32767,32767,32767,32767,32767
244126729,32767,32767,32767,32767,32767,32767
244131729,32767,32767,32767,-1,32767,32767
244136729,32767,32767,32767,32767,-36,32767
244141729,32767,32767,32767,32767,32767,32767
244146729,32767,32767,32767,32767,32767,32767
244151728,32767,32767,32767,32767,32767,32767
244156729,32767,32767,32767,32767,32767,32767
244161729,32767,32767,32767,32767,32767,32767
244166729,32767,32767,32767,32767,32767,32767
244171729,32767,32767,32767,32767,32767,32767
244176729,32767,32767,32767,32767,-46,32767
244181729,32767,32767,32767,32767,32767,32767
244186729,32767,32767,32767,32767,32767,32767
244191729,32767,32767,32767,32767,32767,32767
244196729,32767,32767,32767,32767,32767,32767
244201729,32767,32767,32767,32767,32767,32767
244206729,32767,32767,32767,32767,32767,32767
244211729,32767,32767,32767,32767,32767,32767
