timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
271963256,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2398453,0.0
272163232,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4398452,0.0
272363218,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6398453,0.0
272563177,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8398452,0.0
272763135,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0398452,0.0
272963145,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2398453,0.0
273163026,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4398453,0.0
273363076,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5398452,0.0
273563041,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7398453,0.0
273763027,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9398453,0.0
273962973,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1398451,0.0
274162968,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3398452,0.0
274362923,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5398452,0.0
274562889,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7398453,0.0
274762851,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9398453,0.0
274962813,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1398454,0.0
275162770,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.339845,0.0
275362768,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5398455,0.0
275562728,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7398453,0.0
275762689,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.939845,0.0
275962651,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1398454,0.0
