timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
283262321,-5.632427,-12.903974,-18.684927,-0.017179847,-0.03040142,-0.03269577,-0.4824553,-0.23713413,-0.45606422,-0.03603969,-0.017714055,-0.7325539,-0.18392254,0.0
283362304,-5.632427,-12.903974,-18.684927,-0.015186667,-0.024420977,-0.02976799,-0.5697358,-0.2377257,-0.41579193,-0.042388294,-0.017686771,-0.72962093,-0.18392254,0.0
283562329,-5.4710464,-12.802232,-18.671082,0.1355833,0.075717255,-0.012050629,-0.66587174,-0.4308362,-0.6434685,-0.050648153,-0.03277066,-0.74593085,-1.9528745,0.0
283662279,-5.4174705,-12.829242,-18.670841,0.18050775,0.04470701,-0.01845169,-0.5876882,-0.16111451,-0.860898,-0.045630444,-0.0125095695,-0.7614129,-1.9528745,0.0
283762283,-5.363894,-12.856252,-18.670603,0.21804114,0.01558485,-0.03181076,-0.4203445,-0.24852169,-1.207614,-0.03369182,-0.019919729,-0.78604615,-1.9528745,0.0
283862278,-5.310318,-12.883263,-18.670364,0.25191656,-0.010159778,-0.04748726,-0.5166804,-0.31578216,-1.3196304,-0.04182218,-0.025560673,-0.7937869,-1.9528745,0.0
283962498,-5.256742,-12.910273,-18.670124,0.2845458,-0.037970066,-0.06097603,-0.5324222,-0.42849526,-1.3577864,-0.043247517,-0.034805752,-0.7965741,-1.9528745,0.0
284062285,-5.203166,-12.937283,-18.669886,0.31610146,-0.06882539,-0.06678772,-0.27204713,-0.5968545,-0.92102003,-0.021236258,-0.046591025,-0.7655195,-1.9528745,0.0
284162283,-5.14959,-12.964293,-18.669647,0.34668228,-0.105378486,-0.06176567,-0.4089044,-0.78724384,-0.589492,-0.030929806,-0.05954766,-0.7417815,-1.9528745,0.0
284262278,-5.0960135,-12.9913025,-18.669407,0.3757537,-0.14685835,-0.04981804,-0.27032992,-0.91256475,-0.4444344,-0.020163635,-0.068067275,-0.7314658,-1.9528745,0.0
284362255,-5.0424376,-13.018312,-18.669168,0.4025493,-0.19018735,-0.03534317,-0.38418496,-1.0054121,-0.3596966,-0.028419556,-0.07437399,-0.7254366,-1.9528745,0.0
284462494,-4.9888616,-13.045322,-18.668928,0.4275066,-0.2355802,-0.02147293,-0.30541867,-0.9521578,-0.33088344,-0.022531098,-0.07024181,-0.723445,-1.9528745,0.0
284562282,-4.9352856,-13.072332,-18.66869,0.4487503,-0.2780784,-0.010322571,-0.43630177,-0.82388973,-0.38848165,-0.03237514,-0.061135534,-0.7276842,-1.9528745,0.0
284662257,-4.881709,-13.099343,-18.668451,0.46475142,-0.31550488,-0.0031394958,-0.43169707,-0.87942135,-0.5223669,-0.032456037,-0.06611704,-0.7372866,-1.9528745,0.0
284762241,-4.828133,-13.126353,-18.668211,0.4774987,-0.34905553,-0.0016384125,-0.42354333,-0.8504087,-0.6545715,-0.032249928,-0.06475281,-0.7467112,-1.9528745,0.0
284862295,-4.774557,-13.153363,-18.667973,0.48814276,-0.379948,-0.0053749084,-0.45541745,-0.9833896,-0.90452904,-0.035506114,-0.07666888,-0.7645654,-1.9528745,0.0
284962492,-4.720981,-13.180373,-18.667734,0.49573857,-0.4074294,-0.013799667,-0.40606558,-1.1355968,-1.0933869,-0.032216795,-0.09009699,-0.7780461,-1.9528745,0.0
285162255,-4.6138287,-13.234393,-18.667255,0.5081212,-0.4597105,-0.02549553,-0.36335665,-1.2060895,-0.7605764,-0.027947728,-0.09276688,-0.7542832,-1.9528745,0.0
285262238,-4.5602527,-13.261403,-18.667017,0.5138498,-0.48343205,-0.021806717,-0.3788308,-1.1451963,-0.48541653,-0.028378032,-0.08578612,-0.73461246,-1.9528745,0.0
285362279,-4.5066767,-13.288414,-18.666777,0.5187539,-0.50448364,-0.013910294,-0.46406117,-1.2261329,-0.36377597,-0.034351498,-0.09076283,-0.7259238,-1.9528745,0.0
285462489,-4.4531007,-13.315424,-18.666538,0.52197605,-0.522579,-0.005039215,-0.49410832,-1.2079717,-0.34268117,-0.036497474,-0.08922722,-0.72436976,-1.9528745,0.0
285562310,-4.3995247,-13.342434,-18.6663,0.5224621,-0.53633463,0.002029419,-0.45206428,-1.063854,-0.42735398,-0.03367296,-0.0792434,-0.7304656,-1.9528745,0.0
285662283,-4.345948,-13.369444,-18.66606,0.52116567,-0.54498595,0.008586884,-0.648267,-1.1634376,-0.40764204,-0.04819521,-0.086495414,-0.7290738,-1.9528745,0.0
