timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
251501927,251501729,3407898,3407898,-0.0003177239,-0.00035149223,-0.00028165593,-0.008814945,-0.010745251,-0.056660946,5000,5000,0,0,1,1
252001913,252001729,3407898,3407898,-0.00062975055,-5.475365e-05,-0.00023885035,0.0032641112,-0.013520714,-0.055151004,5000,5000,0,0,1,1
252501907,252501729,3407898,3407898,0.0005351353,3.468008e-05,-0.0001785683,0.0021315026,-0.005376616,-0.04254968,5000,5000,0,0,1,1
253001931,253001729,3407898,3407898,3.0845626e-05,2.8349934e-05,0.00019947242,-0.011719687,0.001784608,-0.04981821,5000,5000,0,0,1,1
253501927,253501729,3407898,3407898,-0.0021451039,-0.00043966813,0.00024251043,-0.003575567,0.0013642841,-0.047879856,5000,5000,0,0,1,1
254001912,254001729,3407898,3407898,-0.0014236943,-0.00040320336,0.00012584927,0.00043872604,0.011609871,-0.040695667,5000,5000,0,0,1,1
254501920,254501729,3407898,3407898,-0.00019509754,-0.00012390869,-0.00013076985,0.008597227,0.015012134,-0.046462595,5000,5000,0,0,1,1
255001927,255001729,3407898,3407898,0.00072288257,-0.00020849361,-0.00022533031,-0.014616052,-0.000556107,-0.05010363,5000,5000,0,0,1,1
255501930,255501729,3407898,3407898,4.7586578e-05,0.00037890725,-0.00019996896,-0.037525456,-0.011848816,-0.058866903,5000,5000,0,0,1,1
256001914,256001729,3407898,3407898,0.00030559627,-0.0005673102,5.5238223e-05,-0.0063169175,-0.00018180038,-0.049427,5000,5000,0,0,1,1
256501936,256501729,3407898,3407898,-0.00043794507,3.4522473e-05,0.00026221815,0.021083102,0.005328833,-0.06344619,5000,5000,0,0,1,1
257501926,257501729,3407898,3407898,-0.0004588527,-0.00017201796,0.00015394599,-0.0022386631,0.005800192,-0.056346256,5000,5000,0,0,1,1
258001910,258001729,3407898,3407898,0.0011802183,0.0012755643,4.1741234e-05,0.0032779234,0.016778076,-0.055235863,5000,5000,0,0,1,1
258501909,258501729,3407898,3407898,-0.00078811194,-0.000241919,-0.00026023792,-0.0061189835,-0.0035091254,-0.04210745,5000,5000,0,0,1,1
259001931,259001731,3407898,3407898,-0.0012032816,-0.00027727705,-0.00034459872,-0.00020350255,-0.0049912324,-0.042608473,5002,5002,0,0,1,1
259501924,259501729,3407898,3407898,0.0002479846,-0.00042206715,0.00017451729,0.0016780988,0.0050531253,-0.05033233,5000,5000,0,0,1,1
260001908,260001729,3407898,3407898,2.6262807e-05,-0.000637419,7.005677e-05,0.0025018537,0.0026570542,-0.05315225,5000,5000,0,0,1,1
260501912,260501729,3407898,3407898,0.0005813327,0.00040404347,-0.00069433753,-0.0024847335,-0.00029831537,-0.05819834,5000,5000,0,0,1,1
261001938,261001729,3407898,3407898,-0.00055485684,0.00090707827,0.00031682913,0.007810991,0.010195873,-0.053044714,5000,5000,0,0,1,1
261501927,261501729,3407898,3407898,0.0008333136,6.875024e-05,0.00013014999,-0.0025820828,0.0018295578,-0.041201442,5000,5000,0,0,1,1
262001905,262001729,3407898,3407898,0.00041513584,-7.3303363e-06,3.7661295e-05,0.0048644715,-0.00089543284,-0.061163653,5000,5000,0,0,1,1
262501910,262501729,3407898,3407898,-0.0004269645,-0.00022646067,0.00029557353,0.0018825452,-0.0023424216,-0.045271095,5000,5000,0,0,1,1
263001926,263001729,3407898,3407898,-0.00029370975,0.00014184686,0.00016332937,-0.015547431,0.0044134245,-0.06376641,5000,5000,0,0,1,1
263501923,263501729,3407898,3407898,-0.0009174188,0.00027738194,0.00028012702,-0.010426237,-0.008908406,-0.055161852,5000,5000,0,0,1,1
264001912,264001729,3407898,3407898,0.00063803594,0.00014055437,-0.0002875437,0.0060093515,0.011592422,-0.034783028,5000,5000,0,0,1,1
264501904,264501729,3407898,3407898,-0.0010105842,0.00076488015,-0.00061137014,-0.0099277925,0.004885531,-0.045607895,5000,5000,0,0,1,1
265001932,265001729,3407898,3407898,-0.00039484538,0.00028172252,0.0001964454,-0.0065752193,0.008122255,-0.05656451,5000,5000,0,0,1,1
265501926,265501729,3407898,3407898,-0.0004527877,0.00037411498,-0.00012238689,-0.013197746,-0.00616932,-0.06788893,5000,5000,0,0,1,1
266001907,266001729,3407898,3407898,0.00022379495,0.00088732375,7.658248e-05,-0.0028233747,-0.0029169465,-0.04391362,5000,5000,0,0,1,1
266501908,266501729,3407898,3407898,-0.00022845785,0.0003615808,-0.00013732201,0.005547935,0.003840396,-0.054506302,5000,5000,0,0,1,1
267001928,267001729,3407898,3407898,-0.00027004193,-0.00042546575,7.554386e-05,-0.010574417,-0.0010049505,-0.047223695,5000,5000,0,0,1,1
267501924,267501729,3407898,3407898,0.0001627338,-4.3523618e-05,7.4650416e-05,0.0019245566,-0.009657925,-0.056578606,5000,5000,0,0,1,1
268001909,268001729,3407898,3407898,0.00013843614,3.2326712e-05,-0.00012516107,4.6738907e-05,0.0028193784,-0.043371294,5000,5000,0,0,1,1
268501908,268501729,3407898,3407898,-0.000374089,-0.0006505648,-0.00020877666,-0.005385337,0.0021331552,-0.058524817,5000,5000,0,0,1,1
269001928,269001729,3407898,3407898,-0.00048526045,0.0023783774,0.0015877392,-0.0075912005,-0.010656203,-0.056785453,5000,5000,0,0,1,1
269501926,269501729,3407898,3407898,-0.00027097668,-0.00083313865,0.0043065418,-0.0011050238,-0.0068582594,-0.048737865,5000,5000,0,0,1,1
270001927,270001729,3407898,3407898,-2.74054e-05,-0.00031119058,0.0047760084,-0.00017291769,0.006383404,-0.05806934,5000,5000,0,0,1,1
270501925,270501729,3407898,3407898,8.7322274e-05,0.00035838532,0.0052032215,0.011469876,-0.007179501,-0.050909646,5000,5000,0,0,1,1
271001907,271001729,3407898,3407898,6.526163e-05,-3.851645e-05,0.0053521297,-0.009248812,0.004994767,-0.03842903,5000,5000,0,0,1,1
271501932,271501729,3407898,3407898,0.00010521951,-7.701028e-05,0.0048236763,0.018260842,0.00039374994,-0.035839908,5000,5000,0,0,1,1
272001931,272001729,3407898,3407898,-0.00039013397,-9.056362e-05,0.004640417,0.0047292104,0.008514991,-0.03880574,5000,5000,0,0,1,1
272501912,272501729,3407898,3407898,-0.00025782085,-0.00023245919,0.0046620867,0.0065257144,0.0014631163,-0.047391545,4999,4999,0,0,1,1
273001955,273001729,3407898,3407898,0.00044765076,-1.335769e-05,0.0048245923,0.0057507637,-0.008625179,-0.03982854,5000,5000,0,0,1,1
274001926,274001729,3407898,3407898,0.0003744192,0.00018877718,0.004616802,-0.0021803076,0.00712411,-0.05489665,5000,5000,0,0,1,1
274501925,274501730,3407898,3407898,-9.805868e-05,-9.554645e-05,0.005264329,-0.0029909571,0.0035214922,-0.0518613,5001,5001,0,0,1,1
275001908,275001729,3407898,3407898,-0.00017642003,7.5724805e-05,0.00523186,0.0048212367,-0.00642333,-0.04860888,5000,5000,0,0,1,1
275501924,275501729,3407898,3407898,-0.00021965384,0.00018504479,0.004779162,0.0019196197,-0.010747527,-0.04146133,5000,5000,0,0,1,1
276001927,276001729,3407898,3407898,-0.00024177406,-4.7481626e-05,0.004582441,0.01419849,0.0050172447,-0.049030703,5000,5000,0,0,1,1
276501914,276501729,3407898,3407898,-0.00012617689,-0.0004143243,0.005284225,0.00391331,0.0010776285,-0.037751544,5000,5000,0,0,1,1
277001915,277001729,3407898,3407898,-0.00016883783,-0.0004114329,0.0048094112,0.00024133654,-0.016153187,-0.065794,5000,5000,0,0,1,1
277501929,277501729,3407898,3407898,0.00021042269,0.00065189373,0.002558718,0.003158763,-0.00273551,-0.046235252,5000,5000,0,0,1,1
278001926,278001729,3407898,3407898,0.00028412754,0.00061040913,-0.00028694433,0.0056461156,-0.00094098254,-0.05886766,5000,5000,0,0,1,1
278501913,278501729,3407898,3407898,0.00048110328,-0.0005436997,-0.00068084156,-0.009272007,-0.0019211089,-0.044394705,5000,5000,0,0,1,1
279001909,279001729,3407898,3407898,-0.0006075114,-0.00013147398,-7.8470606e-05,0.00094453857,-0.0049485904,-0.042128038,5000,5000,0,0,1,1
279501926,279501729,3407898,3407898,5.2505166e-05,0.00039722997,-0.000117159616,0.010005807,-0.008507782,-0.036026597,5000,5000,0,0,1,1
280501908,280501728,3407898,3407898,-0.00019673194,-0.00021192292,-0.00018541464,0.0011589582,0.007557087,-0.048889462,4999,4999,0,0,1,1
281001909,281001729,3407898,3407898,6.401472e-05,-2.7937582e-05,0.00018007756,-0.0051231133,-0.00016501818,-0.05940096,5000,5000,0,0,1,1
281501926,281501729,3407898,3407898,-0.00016892221,-0.00029569265,-0.0002943515,-0.00057149533,-6.206072e-05,-0.052971907,5000,5000,0,0,1,1
282001926,282001729,3407898,3407898,0.00029101505,-8.523008e-05,0.00017269474,0.010086692,0.006278159,-0.04050704,5000,5000,0,0,1,1
282501918,282501729,3407898,3407898,-0.0004112802,-0.00016412626,0.00013627406,-0.0045800386,0.0010458421,-0.03424988,5000,5000,0,0,1,1
283001908,283001729,3407898,3407898,0.00016254782,-0.0002825876,0.00020533768,0.0027812796,-0.0013112922,-0.0408925,5000,5000,0,0,1,1
284001926,284001729,3407898,3407898,0.00027842555,0.0009830054,-0.010445448,-0.016838718,0.016463036,-0.0348556,5000,5000,0,0,1,1
284501907,284501729,3407898,3407898,-0.0005796647,-0.0013011579,-0.0034529879,-0.00087193726,-0.01583684,-0.04332744,5000,5000,0,0,1,1
285001908,285001729,3407898,3407898,-0.00023593262,0.00057317805,-0.00088135403,-0.008056525,0.010078123,-0.06890144,5000,5000,0,0,1,1
285501930,285501729,3407898,3407898,0.00013183229,-0.0004680051,0.00039490752,-0.0042007873,-0.006609255,-0.047604803,5000,5000,0,0,1,1
286001942,286001731,3407898,3407898,-0.000153215,-0.0006529337,0.0003424694,-0.019162241,0.0027418896,-0.066652045,5002,5002,0,0,1,1
286501907,286501729,3407898,3407898,-0.00080547604,-2.5802055e-05,0.00062684936,-0.009775164,-0.002900113,-0.045889214,5000,5000,0,0,1,1
287001912,287001729,3407898,3407898,-4.143506e-05,0.00038777976,7.952515e-05,-0.008876962,0.007784758,-0.038582787,5000,5000,0,0,1,1
287501927,287501729,3407898,3407898,-7.0078226e-05,-0.00022119167,-8.026161e-05,-0.0131078,-0.00039011767,-0.045505457,5000,5000,0,0,1,1
288001928,288001729,3407898,3407898,-0.00041639793,-0.0005703568,-0.00030864007,0.002021898,0.016944284,-0.056354545,5000,5000,0,0,1,1
288501910,288501729,3407898,3407898,-0.00054129865,-2.4356947e-05,-4.116522e-05,-0.019570442,0.009836665,-0.05397301,5000,5000,0,0,1,1
289001912,289001729,3407898,3407898,-7.4427815e-05,0.00031562202,-0.00012251872,-0.0054326514,-0.0027424316,-0.047450565,5000,5000,0,0,1,1
289501945,289501729,3407898,3407898,-0.00030589514,-0.00033961053,1.2464796e-05,0.009113591,0.0006504108,-0.037175816,5000,5000,0,0,1,1
290001931,290001729,3407898,3407898,0.0009767317,0.0006397264,-0.0006341381,0.021907022,-0.032500546,-0.04965027,5000,5000,0,0,1,1
290501909,290501729,3407898,3407898,-8.200127e-05,-0.0001967049,3.2933785e-05,0.010309689,-0.005121216,-0.034751005,5000,5000,0,0,1,1
291001917,291001729,3407898,3407898,-0.0002894446,0.00019895536,-0.0003379495,-0.0039398316,0.003471457,-0.047012947,5000,5000,0,0,1,1
291501941,291501729,3407898,3407898,-5.4144133e-05,4.4365766e-05,-0.000104534585,0.007872721,-0.010516669,-0.055251293,5000,5000,0,0,1,1
292001927,292001729,3407898,3407898,-0.00045967763,0.0009928239,-0.00035229634,-0.018180296,-0.0027031188,-0.033064887,5000,5000,0,0,1,1
292501909,292501729,3407898,3407898,0.001362357,0.00019942054,0.0008974944,-0.002141917,0.015041923,-0.042756427,4998,4998,0,0,1,1
293001909,293001729,3407898,3407898,-0.0002619135,0.000115184695,0.00012746095,0.015597597,-0.0048462525,-0.018367615,5000,5000,0,0,1,1
293501927,293501729,3407898,3407898,-0.00066593324,0.00051890325,-0.0005460647,-0.009086892,0.0059647956,-0.05028298,5000,5000,0,0,1,1
294001932,294001728,3407898,3407898,-0.00015941613,0.00015433032,0.00029328672,0.014164403,-0.009307292,-0.034880184,4999,4999,0,0,1,1
294501912,294501729,3407898,3407898,-0.00043410787,-0.00021952354,9.5582895e-05,0.0058167,-6.6724424e-05,-0.03507116,5000,5000,0,0,1,1
295001916,295001729,3407898,3407898,-0.00013168718,-0.00066680124,0.00012463726,-0.0027733224,-0.002527389,-0.049066365,5000,5000,0,0,1,1
295501946,295501729,3407898,3407898,-1.969662e-05,0.0002544119,-0.00015924704,-0.0021241917,0.014329534,-0.041650727,5000,5000,0,0,1,1
296001929,296001729,3407898,3407898,-0.003757983,-6.493341e-05,6.7729496e-05,-0.00074882596,-0.0035468964,-0.05275492,5000,5000,0,0,1,1
297001910,297001729,3407898,3407898,0.0024197276,-0.0005541835,-0.00016019867,0.009150118,0.005678801,-0.032967377,5000,5000,0,0,1,1
