timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
319279121,3.4597974,0,0,0,0,0,0,0,0,0
319378330,3.314867,0,0,0,0,0,0,0,0,0
319477261,3.304456,0,0,0,0,0,0,0,0,0
319576320,3.3018498,0,0,0,0,0,0,0,0,0
319675187,3.3560922,0,0,0,0,0,0,0,0,0
319774569,3.306669,0,0,0,0,0,0,0,0,0
319873292,3.2893908,0,0,0,0,0,0,0,0,0
319983297,3.3320844,0,0,0,0,0,0,0,0,0
320082671,3.2781386,0,0,0,0,0,0,0,0,0
320181074,3.423535,0,0,0,0,0,0,0,0,0
320280098,3.4292364,0,0,0,0,0,0,0,0,0
320379121,3.4292364,0,0,0,0,0,0,0,0,0
320478341,3.450219,0,0,0,0,0,0,0,0,0
320577316,3.4947193,0,0,0,0,0,0,0,0,0
320676359,3.6794164,0,0,0,0,0,0,0,0,0
320775198,3.7855632,0,0,0,0,0,0,0,0,0
320874247,3.8388748,0,0,0,0,0,0,0,0,0
320973326,4.0200152,0,0,0,0,0,0,0,0,0
321072691,4.1782737,0,0,0,0,0,0,0,0,0
321182612,4.3657966,0,0,0,0,0,0,0,0,0
321281072,4.5297813,0,0,0,0,0,0,0,0,0
321380111,4.661209,0,0,0,0,0,0,0,0,0
321479128,4.819198,0,0,0,0,0,0,0,0,0
321578365,4.8519764,0,0,0,0,0,0,0,0,0
321677339,4.9051347,0,0,0,0,0,0,0,0,0
321776510,4.8617606,0,0,0,0,0,0,0,0,0
321875179,4.8935733,0,0,0,0,0,0,0,0,0
321974254,4.96176,0,0,0,0,0,0,0,0,0
322073287,4.9398355,0,0,0,0,0,0,0,0,0
322183290,4.8971634,0,0,0,0,0,0,0,0,0
322282628,4.9110575,0,0,0,0,0,0,0,0,0
322381053,4.884184,0,0,0,0,0,0,0,0,0
322480097,4.904812,0,0,0,0,0,0,0,0,0
322579118,4.961368,0,0,0,0,0,0,0,0,0
322678391,4.957014,0,0,0,0,0,0,0,0,0
322777292,4.980991,0,0,0,0,0,0,0,0,0
322876309,4.980991,0,0,0,0,0,0,0,0,0
322975172,5.0440683,0,0,0,0,0,0,0,0,0
323074224,4.9957337,0,0,0,0,0,0,0,0,0
323173335,4.914482,0,0,0,0,0,0,0,0,0
323283346,4.869089,0,0,0,0,0,0,0,0,0
323382671,4.8638425,0,0,0,0,0,0,0,0,0
323481066,4.779724,0,0,0,0,0,0,0,0,0
323580097,4.69049,0,0,0,0,0,0,0,0,0
323679134,4.5961633,0,0,0,0,0,0,0,0,0
323778374,4.4872966,0,0,0,0,0,0,0,0,0
323877322,4.393112,0,0,0,0,0,0,0,0,0
323976345,4.284393,0,0,0,0,0,0,0,0,0
324075197,4.1927977,0,0,0,0,0,0,0,0,0
324383273,3.8641248,0,0,0,0,0,0,0,0,0
324482688,3.7458124,0,0,0,0,0,0,0,0,0
324581062,3.6409817,0,0,0,0,0,0,0,0,0
324680117,3.529087,0,0,0,0,0,0,0,0,0
324779147,3.4442427,0,0,0,0,0,0,0,0,0
324878368,3.3659952,0,0,0,0,0,0,0,0,0
324977259,3.2784057,0,0,0,0,0,0,0,0,0
325076327,3.186656,0,0,0,0,0,0,0,0,0
325175219,3.1065707,0,0,0,0,0,0,0,0,0
325274250,2.998689,0,0,0,0,0,0,0,0,0
325373280,2.9055133,0,0,0,0,0,0,0,0,0
325483289,2.8041162,0,0,0,0,0,0,0,0,0
325582620,2.728512,0,0,0,0,0,0,0,0,0
325681080,2.638263,0,0,0,0,0,0,0,0,0
325780097,2.638263,0,0,0,0,0,0,0,0,0
325879121,2.5563526,0,0,0,0,0,0,0,0,0
325978318,2.4929802,0,0,0,0,0,0,0,0,0
326077295,2.4184225,0,0,0,0,0,0,0,0,0
326176328,2.3468504,0,0,0,0,0,0,0,0,0
326275172,2.2577722,0,0,0,0,0,0,0,0,0
326374243,2.206092,0,0,0,0,0,0,0,0,0
326473267,2.136758,0,0,0,0,0,0,0,0,0
326583274,2.0699902,0,0,0,0,0,0,0,0,0
326682752,2.0283961,0,0,0,0,0,0,0,0,0
326781057,1.960731,0,0,0,0,0,0,0,0,0
326880097,1.8520702,0,0,0,0,0,0,0,0,0
326979123,1.7882183,0,0,0,0,0,0,0,0,0
327078403,1.7722943,0,0,0,0,0,0,0,0,0
327177319,1.7236465,0,0,0,0,0,0,0,0,0
327276343,1.6567384,0,0,0,0,0,0,0,0,0
327375197,1.6005052,0,0,0,0,0,0,0,0,0
327474314,1.5650885,0,0,0,0,0,0,0,0,0
327573227,1.5028251,0,0,0,0,0,0,0,0,0
327672764,1.4898974,0,0,0,0,0,0,0,0,0
327782626,1.4801478,0,0,0,0,0,0,0,0,0
327881071,1.4402903,0,0,0,0,0,0,0,0,0
327980128,1.4252741,0,0,0,0,0,0,0,0,0
328079146,1.3301482,0,0,0,0,0,0,0,0,0
328178390,1.254775,0,0,0,0,0,0,0,0,0
328277310,1.1610082,0,0,0,0,0,0,0,0,0
328376326,1.1610082,0,0,0,0,0,0,0,0,0
328475180,1.1566901,0,0,0,0,0,0,0,0,0
328574247,1.1367319,0,0,0,0,0,0,0,0,0
328673268,1.1070489,0,0,0,0,0,0,0,0,0
328783308,1.0368286,0,0,0,0,0,0,0,0,0
328882670,0.98691607,0,0,0,0,0,0,0,0,0
328981066,0.8959706,0,0,0,0,0,0,0,0,0
329080122,0.8543334,0,0,0,0,0,0,0,0,0
329278332,0.75465494,0,0,0,0,0,0,0,0,0
329476383,0.7262652,0,0,0,0,0,0,0,0,0
329575169,0.6961831,0,0,0,0,0,0,0,0,0
329674272,0.6187245,0,0,0,0,0,0,0,0,0
329773227,0.5682987,0,0,0,0,0,0,0,0,0
329883313,0.5151388,0,0,0,0,0,0,0,0,0
329982707,0.47823822,0,0,0,0,0,0,0,0,0
330081076,0.48243022,0,0,0,0,0,0,0,0,0
330180103,0.45138043,0,0,0,0,0,0,0,0,0
330279120,0.4391325,0,0,0,0,0,0,0,0,0
330378341,0.46304455,0,0,0,0,0,0,0,0,0
330477316,0.41515177,0,0,0,0,0,0,0,0,0
330576359,0.39324683,0,0,0,0,0,0,0,0,0
