timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
200776733,0.00038247183,0.0014219807,0.008348786,5002,0,-0.19919322,0.3036988,-9.793004,5002,0,0,1,1
200781730,-0.0048046364,-0.002419746,0.0067774234,4997,0,-0.17298232,0.23235951,-9.765624,4997,0,0,1,1
200786730,-0.009372337,-0.0005577981,0.0020975093,5000,0,-0.1372447,0.29673192,-9.75375,5000,0,0,1,1
200791729,-0.006524655,9.404495e-06,-0.0034836503,4999,0,-0.1487557,0.5021605,-9.795826,4999,0,0,1,1
200796731,-0.007868437,0.0018752516,-0.0024702102,5002,0,0.26309544,0.32751086,-9.800709,5002,0,0,1,1
200801730,-0.004508091,-0.004109104,0.0014524298,4999,0,-0.12409249,-0.08274309,-9.806998,4999,0,0,1,1
200806730,-0.006519592,-0.0016051927,0.000682925,5000,0,-0.012037954,0.5227681,-9.931014,5000,0,0,1,1
200811731,-0.0030503962,-0.0011399225,-0.0015108021,5001,0,-0.15055478,0.43722737,-9.637596,5001,0,0,1,1
200816730,0.0046623284,0.0033271164,-0.0017749843,4999,0,-0.12313234,0.13042952,-9.945472,4999,0,0,1,1
200821729,-0.0014383431,-0.0041525587,-0.0029702657,4999,0,-0.122068964,0.41856965,-9.84803,4999,0,0,1,1
200826729,-0.004932223,0.00043547843,-0.002455004,5000,0,-0.3091,0.3361099,-9.893112,5000,0,0,1,1
200831730,-0.0074857906,-0.0023998641,-0.004523229,5001,0,-0.18548076,0.2053091,-9.759506,5001,0,0,1,1
200836732,-0.0060156817,0.00039300826,-0.00086632185,5002,0,0.055717345,0.2251423,-9.893796,5002,0,0,1,1
200841730,-0.0065940768,-0.0028087446,0.002473937,4998,0,-0.1400764,0.26537812,-9.742746,4998,0,0,1,1
200846730,-0.012549121,-0.0025948794,0.006913865,5000,0,-0.1222464,0.40911096,-10.034696,5000,0,0,1,1
200851730,-0.000675275,-0.0047282814,0.011261557,5000,0,0.027655015,0.30849293,-9.622776,5000,0,0,1,1
200856731,-0.004882034,0.0006917108,0.0077346186,5001,0,-0.17860359,0.595906,-9.970874,5001,0,0,1,1
200861730,-0.0029109158,-0.0026385202,0.005205856,4999,0,-0.0588076,0.23277144,-9.754019,4999,0,0,1,1
200866730,-0.0003504371,-0.001115571,0.0019022541,5000,0,-0.007390596,0.13306521,-9.8771515,5000,0,0,1,1
200871730,-0.0014081158,0.0007503534,-0.003182425,5000,0,-0.15610804,0.51311755,-9.6185255,5000,0,0,1,1
200876732,-0.013183994,0.0014779603,-0.0054319086,5002,0,-0.043250866,0.15288761,-9.939384,5002,0,0,1,1
200881730,-0.004426443,-0.000481793,-0.004781059,4998,0,-0.05944573,0.37604606,-9.822951,4998,0,0,1,1
200886730,-0.0057011433,-0.004050667,-0.0027913388,5000,0,0.02117289,0.27979577,-9.744722,5000,0,0,1,1
200891729,-0.004438827,0.00035024376,-0.0008721686,4999,0,-0.09207828,0.30404562,-9.756623,4999,0,0,1,1
200896729,-0.0041258372,-0.0020539826,-0.000937366,5000,0,-0.39480156,0.30651283,-9.975554,5000,0,0,1,1
200901729,-0.0016171793,-0.0026747994,0.0037538765,5000,0,0.23823053,0.30814296,-9.857741,5000,0,0,1,1
200906730,-0.00025743898,-0.0009483503,-0.0003240374,5001,0,-0.3012352,0.40945277,-9.574971,5001,0,0,1,1
200911729,-0.0035014423,-0.0025587082,0.0029489435,4999,0,-0.12014256,0.37797955,-10.124652,4999,0,0,1,1
200916729,-0.006753054,-0.00026868365,0.003595815,5000,0,-0.13807248,0.23525605,-9.565706,5000,0,0,1,1
200921730,-0.006414526,0.0027089438,0.0028103224,5001,0,-0.09103589,0.3127889,-9.982745,5001,0,0,1,1
200926730,-0.011516398,-0.0010161076,0.006445593,5000,0,-0.004358977,0.4536878,-9.644918,5000,0,0,1,1
200931731,-0.0032280723,0.000193062,0.0052327346,5001,0,0.070125,0.2979015,-9.98493,5001,0,0,1,1
200936732,-0.010309882,-0.0066131465,0.005653081,5001,0,-0.32724398,0.1493552,-9.5833845,5001,0,0,1,1
200941729,-0.002178058,-0.0011530737,0.0017024521,4997,0,0.14285433,0.30096066,-10.014627,4997,0,0,1,1
200946730,-0.000880057,-0.0026511112,0.0023534417,5001,0,-0.1483596,0.38438237,-9.639793,5001,0,0,1,1
200951729,-0.0020070337,-0.0037008845,-0.0040709185,4999,0,-0.26988056,0.299604,-10.03246,4999,0,0,1,1
200956730,0.00044645183,-0.0043957727,-0.004965873,5001,0,-0.11419803,0.17745595,-9.688156,5001,0,0,1,1
200961729,-0.004762916,0.00424796,-0.0040318677,4999,0,0.01882378,0.5199011,-9.780046,4999,0,0,1,1
200966730,-0.007993976,-0.0014537532,-0.008289394,5001,0,-0.26874924,0.27128607,-9.85926,5001,0,0,1,1
200971729,-0.009177424,-0.00011156721,0.0014934567,4999,0,0.22478047,0.3111859,-9.899198,4999,0,0,1,1
200976730,-0.00047885627,-0.0040634163,0.0020335761,5001,0,-0.345054,0.14162092,-9.647734,5001,0,0,1,1
200981729,-0.010322413,0.0006149007,0.0029887222,4999,0,-0.02255933,0.54275495,-9.869146,4999,0,0,1,1
200986730,-0.0042876126,0.0027997,0.0022921078,5001,0,-0.26516563,0.24012116,-9.942607,5001,0,0,1,1
200991731,-0.0012114114,-0.0069122505,0.0061718784,5001,0,-0.062238358,0.36560854,-9.8118305,5001,0,0,1,1
200996731,-0.00052059535,0.002197959,0.0012174516,5000,0,-0.09181881,0.46778396,-9.576243,5000,0,0,1,1
201001730,-0.007007694,0.0020610678,0.0012516613,4999,0,-0.041015316,0.12019967,-10.044614,4999,0,0,1,1
201006729,-0.0063771913,-0.0039850012,0.003438863,4999,0,0.063957736,0.12487259,-9.655203,4999,0,0,1,1
201011729,-0.011619708,-0.0032706684,0.0017900233,5000,0,-0.37731385,0.42247456,-10.115526,5000,0,0,1,1
201016769,-0.0067030354,-0.0013574868,0.0015265925,5040,0,-0.17624873,0.26420188,-9.8362875,5040,0,0,1,1
201021729,-0.004681412,0.0011180653,0.0018909684,4960,0,-0.12201718,0.38689557,-9.955862,4960,0,0,1,1
201026729,-0.004871774,-0.0021810739,-0.00029840966,5000,0,-0.05288383,0.47913757,-9.714563,5000,0,0,1,1
201031739,-0.003402831,-0.00094265834,-0.000296823,5010,0,-0.057733953,0.09050219,-9.785318,5010,0,0,1,1
201036730,0.001783838,-0.0016072529,-0.003715978,4991,0,-0.06840421,0.59000707,-9.916724,4991,0,0,1,1
201041729,-0.0005734433,-0.00466752,-0.005455729,4999,0,-0.1944283,0.29652008,-9.681779,4999,0,0,1,1
201046729,-0.005735512,-0.00027942163,-0.0057445145,5000,0,-0.091588214,0.071048185,-9.878693,5000,0,0,1,1
201051730,-0.0062250886,0.00021724877,-0.0007389743,5001,0,-0.0039936267,0.39902666,-9.764395,5001,0,0,1,1
201056729,-0.008761449,-0.005234985,0.0020669145,4999,0,-0.14468789,0.3285505,-9.95341,4999,0,0,1,1
201061729,-0.0048553087,-0.002171833,0.003633586,5000,0,-0.265988,0.23556961,-9.587021,5000,0,0,1,1
201066729,-0.012164282,0.00034470842,0.0073029688,5000,0,0.109931104,0.30212092,-10.032934,5000,0,0,1,1
201071729,-0.0014279038,0.0016600909,0.0056368047,5000,0,-0.21243715,0.64490145,-9.656365,5000,0,0,1,1
