timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
239363146,239362997,0.036645867,-0.32920787,-7.17766
239413137,239412979,-0.17102115,-0.7863408,-7.817774
239463147,239462997,0.043381825,-0.81457514,-8.162539
239513126,239512979,0.15628731,-0.25397813,-9.059385
239563151,239562998,-0.1767519,-0.29178756,-9.348622
239613149,239612979,-0.053728674,-0.388737,-9.587473
239663198,239663007,-0.17679074,0.13644917,-9.889286
239713145,239712979,-0.15961866,0.18017523,-10.336839
239763170,239762998,0.047254287,-0.27428865,-10.115311
239813145,239812980,0.016963357,0.039328493,-10.614982
239863163,239862997,0.18772553,-0.118813545,-10.5579405
239913145,239912979,-0.17362612,-0.5517045,-10.491556
239963205,239962998,0.06919028,-0.4240188,-10.33163
240013144,240012979,-0.083534114,-0.43847358,-10.523826
240063174,240063001,-0.20798112,-0.44269925,-10.333021
240113145,240112980,-0.20735544,-0.22502898,-10.292296
240163184,240162997,-0.11697545,-0.36073434,-10.164327
240213144,240212979,0.02415754,-0.48691666,-9.892641
240263190,240262999,-0.015009928,-0.21720563,-10.020753
240313144,240312979,-0.2234582,-0.42375073,-10.507302
240363184,240362997,0.14930293,-0.4210865,-10.373964
240413143,240412979,0.4165827,-0.5684917,-10.3202095
240463163,240462997,0.33885667,-0.44055593,-10.022894
240513143,240512979,-0.34830874,-0.4769019,-10.052106
240563209,240563027,-0.15739615,-0.16195357,-10.214562
240613127,240612979,-0.13254887,-0.2927775,-10.315202
240663150,240662998,-0.16633677,-0.14024773,-10.098137
240713133,240712980,-0.16922535,-0.04699607,-10.051907
240763148,240762998,-0.06983736,-0.30904654,-10.175664
240813127,240812979,-0.117345214,-0.36014912,-10.211132
240863147,240862997,0.090159744,-0.3036544,-9.982477
240913134,240912979,0.12942287,-0.1737097,-9.944972
240963164,240962997,-0.084394865,-0.14079939,-10.187474
241013128,241012979,-0.21557894,-0.0893451,-10.225483
241063152,241062998,-0.14266083,-0.20986082,-10.107798
241113132,241112979,-0.26778233,-0.14479282,-10.204361
241163150,241162997,-0.2899111,-0.21643478,-10.0655775
241213129,241212980,-0.05227345,-0.42060134,-9.933861
241263147,241262997,-0.028573805,-0.4308674,-10.02449
241313128,241312979,-0.27129427,0.057580918,-10.003253
241363146,241362997,-0.39612728,-0.021760982,-10.233892
241413136,241412979,-0.34663075,-0.023805887,-10.113085
241463152,241462997,-0.14226827,0.0695334,-9.980254
241513133,241512979,-0.056656294,0.3076212,-10.068474
241563151,241562999,-0.09244749,-0.0025944866,-10.10752
241613078,241612979,-0.1518513,-0.07915489,-10.380885
241663198,241662997,-0.41550612,-0.08594888,-10.258072
241713150,241712980,-0.19719528,-0.04208172,-10.138253
241763184,241762997,-0.3214147,-0.29154995,-9.891238
241813144,241812979,-0.4224086,-0.06247809,-10.1552725
241863168,241862998,-0.24889347,-0.11365199,-9.886754
241913143,241912979,-0.15787306,0.14353871,-9.940424
