timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
327666964,3407898,3407898,3407890,3407882,0,0.10913797,0.16608858,0.15168503,0.0,3407898,3407898,3407890,3407882,0,0.0005269729,0.0022117533,0.0022863615,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
327866939,3407898,3407898,3407890,3407882,0,0.1389958,0.06568793,0.1077362,0.0,3407898,3407898,3407890,3407882,0,0.0029332822,0.0039835377,0.0018587156,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
328066988,3407898,3407898,3407890,3407882,0,0.061467316,0.06954837,0.06841077,0.0,3407898,3407898,3407890,3407882,0,0.0018046311,0.0023147233,0.0017848702,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
328266980,3407898,3407898,3407890,3407882,0,0.087489136,0.11780641,0.03330121,0.0,3407898,3407898,3407890,3407882,0,0.0037341663,0.00584524,0.0030045337,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
328466957,3407898,3407898,3407890,3407882,0,0.12041349,0.14307755,0.031164922,0.0,3407898,3407898,3407890,3407882,0,0.0026350317,0.00049163814,0.0024439231,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
328666956,3407898,3407898,3407890,3407882,0,0.10739301,0.21526179,0.19239147,0.0,3407898,3407898,3407890,3407882,0,0.002257329,0.004158612,0.002319418,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
328866957,3407898,3407898,3407890,3407882,0,0.076996334,0.13365369,0.11732458,0.0,3407898,3407898,3407890,3407882,0,0.0032182918,0.0047209226,0.0022770048,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
329066958,3407898,3407898,3407890,3407882,0,0.098625414,0.051890507,0.09217375,0.0,3407898,3407898,3407890,3407882,0,0.0019656376,0.0029651977,0.0010004991,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
329266957,3407898,3407898,3407890,3407882,0,0.09047504,0.15193088,0.15706229,0.0,3407898,3407898,3407890,3407882,0,0.0023635076,0.0013181368,0.0019597518,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
329666946,3407898,3407898,3407890,3407882,0,0.09666717,0.10763655,0.0625853,0.0,3407898,3407898,3407890,3407882,0,0.0025520388,0.0039820955,0.0031809013,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
329866940,3407898,3407898,3407890,3407882,0,0.1347468,0.06655438,0.087015465,0.0,3407898,3407898,3407890,3407882,0,0.009148293,0.009722828,0.00153049,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
