timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality
229559161,229555077,-1,-49.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1969,1920,0,0,16,0,0,14,97
230062846,230055079,-1,-49.0,0,0,0,1499,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1929,2000,0,0,16,0,0,14,93
230555267,230555248,-1,-48.0,0,0,0,1499,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1910,2000,0,0,16,0,0,14,91
231055201,231055133,-1,-50.0,0,0,0,1500,1500,1658,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1879,2000,0,0,16,0,0,14,88
231555110,231555090,-1,-50.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1910,2000,0,0,16,0,0,14,90
232055108,232055088,-1,-50.0,0,0,0,1500,1500,1658,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1949,1984,0,0,16,0,0,14,95
232555095,232555076,-1,-51.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1929,1984,0,0,16,0,0,14,93
233054954,233054935,-1,-52.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1940,1984,0,0,16,0,0,14,94
233555093,233555073,-1,-54.0,0,0,0,1500,1500,1658,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1929,1935,0,0,16,0,0,14,93
235054958,235054939,-1,-50.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1980,2000,0,0,16,0,0,14,98
235554958,235554936,-1,-50.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1980,2000,0,0,16,0,0,14,98
236054957,236054937,-1,-50.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1980,2000,0,0,16,0,0,14,98
236555127,236555107,-1,-50.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1980,2000,0,0,16,0,0,14,98
