timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
239945804,3407882,3407882,0,0,0,0,0,0,0,0,800.00024,800.00024,6410.86,6410.86,3.5077648,0.06594034,1.1137813e-07,-0.3653091,-0.15947276,-10.547997,-0.36594972,-0.09911575,-0.049160928,123.284035,16.651451,238.84955,0.04619767,0.074784115,0.004654664,23.66183,23.66183
240990803,3407882,3407882,0,0,0,0,0,0,0,0,800.00024,800.00024,6410.854,6410.854,3.318006,0.058860242,3.5504865e-08,-0.38165036,-0.09283866,-10.328019,-0.15070918,-0.049136028,0.025668344,117.30246,31.918428,168.75421,0.053025186,0.050059807,0.0032607696,23.641022,23.641022
241930807,3407882,3407882,0,0,0,0,0,0,0,0,800.00024,800.00024,6410.8413,6410.8413,3.189667,0.057429474,2.2028274e-08,-0.31313482,0.10902579,-9.866174,-0.06736459,0.021342492,0.029380735,103.079956,34.976833,148.04756,0.0295337,0.038837433,0.0062677823,23.632856,23.632856
242980803,3407882,3407882,0,0,0,0,0,0,0,0,800.00024,800.00024,6410.83,6410.83,2.8656611,0.052631453,3.3123506e-08,-0.45122,-0.010728009,-9.890946,0.013752481,0.028573269,-0.058845114,77.272064,36.130962,95.078735,0.049745433,0.034852393,0.004896581,23.634207,23.634207
243925802,3407882,3407882,0,0,0,0,0,0,0,0,800.00024,800.00024,6410.8135,6410.8135,4.0655384,0.07876683,2.0882082e-07,-0.4672613,0.36202258,-9.797926,0.36054808,0.13527884,0.03719304,343.55853,65.476685,249.94875,0.099099554,0.15578866,0.005922253,23.618334,23.618334
244965803,3407882,3407882,0,0,0,0,0,0,0,0,800.00024,800.00024,6410.8105,6410.8105,4.441978,0.07553023,5.9013267e-08,-0.7446494,0.34910464,-9.621222,0.09916675,0.0072166026,0.016083049,372.13687,52.26512,211.12215,0.07210923,0.13308387,0.007743403,23.608568,23.608568
245905804,3407882,3407882,0,0,0,0,0,0,0,0,800.00024,800.00024,6410.806,6410.806,3.7517216,0.06878405,4.5020464e-08,-0.34173754,0.13515566,-9.866687,-0.08223692,-0.03458441,-0.014335445,173.7299,50.132145,107.05749,0.09430391,0.079219036,0.004345356,23.594183,23.594183
246955811,3407882,3407882,0,0,0,0,0,0,0,0,800.2104,800.2104,6409.5137,6409.5137,3.4321818,0.075366125,2.2552439e-07,-0.089913964,-0.11620587,-9.738936,-0.6844174,-0.235695,-0.052225787,99.00313,33.994537,93.69911,0.057496086,0.0492018,0.0021991853,23.609142,23.609142
247995807,3407882,3407882,0,0,0,0,0,0,0,0,800.0309,800.0309,6410.2344,6410.2344,2.9607162,0.052746996,2.842959e-08,0.080693915,-0.18717696,-10.100197,-0.08277028,-0.034388043,-0.028116673,84.24321,33.82432,147.26584,0.031001452,0.05710405,0.00444352,23.579245,23.579245
248940805,3407882,3407882,0,0,0,0,0,0,0,0,800.01733,800.01733,6410.2812,6410.2812,2.9617293,0.05298947,1.8870447e-08,-0.25705248,0.11137554,-9.990647,0.026084874,-0.01746661,0.075271375,24.999582,10.335327,46.529163,0.009499058,0.008945324,0.0027533846,23.577816,23.577816
249985802,3407882,3407882,0,0,0,0,0,0,0,0,800.0117,800.0117,6410.7993,6410.7993,3.3786445,0.054724663,4.03388e-08,-0.25521922,0.30603907,-9.597956,0.053675923,0.09121756,0.002384328,128.10318,35.070328,137.58655,0.032443687,0.05009105,0.007003942,23.567287,23.567287
250930823,3407882,3407882,0,0,0,0,0,0,0,0,800.00903,800.00903,6410.611,6410.611,3.652587,0.054759823,1.8669702e-08,-0.47718042,0.032619074,-9.303988,0.03145608,0.012001449,-0.004421395,153.95432,25.744925,185.29431,0.043187268,0.054580245,0.005774677,23.58198,23.58198
251980804,3407882,3407882,0,0,0,0,0,0,0,0,800.0072,800.0072,6410.5576,6410.5576,3.9886823,0.057379358,2.7811478e-08,-0.5913023,-0.013813284,-9.756466,-0.06504346,-0.007377467,0.0071277125,178.14833,53.19335,203.62874,0.055118587,0.057951197,0.010027359,23.58321,23.58321
252925806,3407882,3407882,0,0,0,0,0,0,0,0,800.0061,800.0061,6410.669,6410.669,3.7135832,0.061631095,2.612683e-08,-0.41528803,-0.10752703,-9.476312,-0.0063339104,0.040993154,0.012105232,230.73521,58.194397,199.00665,0.0746973,0.088561185,0.0074651907,23.538105,23.538105
253965808,3407882,3407882,0,0,0,0,0,0,0,0,800.00525,800.00525,6410.662,6410.662,4.1414094,0.061942074,7.354673e-08,-0.2757926,0.30712077,-9.709001,-0.21087852,-0.05804364,0.05320255,131.2602,81.123184,222.31624,0.084897734,0.040554274,0.009124843,23.546692,23.546692
254910803,3407882,3407882,0,0,0,0,0,0,0,0,800.00464,800.00464,6410.6465,6410.6465,4.2614,0.0692744,4.940882e-08,-0.5551504,0.27739716,-10.006117,0.08289102,0.0058243396,-0.032956377,343.8708,128.93584,296.6718,0.09436628,0.073688895,0.015840624,23.536371,23.536371
