timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
253842888,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
254349085,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
254854914,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
255362682,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
255867888,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
256373996,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
257386042,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
257892450,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
258397887,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
258904080,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
259409888,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
259917083,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
260422888,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
260929068,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
261434889,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
261940900,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
262447202,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
262954057,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
263460151,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
263966094,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
